x,y,z
48.0,237.0,43.333332
48.0,240.0,47.64706
48.0,243.0,47.2549
48.0,246.0,43.72549
48.0,249.0,35.68627
48.0,252.0,24.313725
48.0,255.0,11.372547
48.0,258.0,2.9411774
51.0,126.0,3.5294113
51.0,129.0,12.35294
51.0,132.0,25.686274
51.0,135.0,37.058823
51.0,138.0,44.705883
51.0,141.0,47.2549
51.0,144.0,46.862743
51.0,147.0,42.7451
51.0,150.0,32.941177
51.0,153.0,20.784313
51.0,156.0,8.431374
51.0,159.0,2.1568642
51.0,177.0,2.1568642
51.0,180.0,9.215687
51.0,183.0,21.372547
51.0,186.0,34.117645
51.0,189.0,42.7451
51.0,192.0,44.705883
51.0,195.0,41.568626
51.0,198.0,32.352943
51.0,201.0,19.607841
51.0,204.0,7.6470566
51.0,207.0,1.5686264
51.0,225.0,2.745098
51.0,228.0,9.803921
51.0,231.0,22.941175
51.0,234.0,35.68627
51.0,237.0,43.333332
51.0,240.0,47.2549
51.0,243.0,47.64706
51.0,246.0,44.117645
51.0,249.0,36.47059
51.0,252.0,24.705881
51.0,255.0,11.568626
51.0,258.0,3.1372528
54.0,126.0,3.7254906
54.0,129.0,12.15686
54.0,132.0,25.882353
54.0,135.0,37.058823
54.0,138.0,44.705883
54.0,141.0,47.64706
54.0,144.0,46.862743
54.0,147.0,41.960785
54.0,150.0,33.333332
54.0,153.0,20.784313
54.0,156.0,8.823528
54.0,159.0,1.9607849
54.0,177.0,2.1568642
54.0,180.0,9.215687
54.0,183.0,21.372547
54.0,186.0,34.117645
54.0,189.0,42.35294
54.0,192.0,44.705883
54.0,195.0,41.17647
54.0,198.0,32.352943
54.0,201.0,19.607841
54.0,204.0,7.6470566
54.0,207.0,1.5686264
54.0,225.0,2.745098
54.0,228.0,10.0
54.0,231.0,22.941175
54.0,234.0,36.07843
54.0,237.0,43.72549
54.0,240.0,48.039215
54.0,243.0,47.64706
54.0,246.0,44.509804
54.0,249.0,37.058823
54.0,252.0,24.705881
54.0,255.0,11.764706
54.0,258.0,3.1372528
57.0,126.0,3.9215698
57.0,129.0,12.745098
57.0,132.0,26.27451
57.0,135.0,37.843136
57.0,138.0,44.705883
57.0,141.0,47.64706
57.0,144.0,46.47059
57.0,147.0,42.7451
57.0,150.0,33.333332
57.0,153.0,20.784313
57.0,156.0,8.627449
57.0,159.0,2.1568642
57.0,177.0,2.1568642
57.0,180.0,9.019608
57.0,183.0,21.17647
57.0,186.0,33.72549
57.0,189.0,41.568626
57.0,192.0,44.117645
57.0,195.0,41.17647
57.0,198.0,31.960783
57.0,201.0,19.411764
57.0,204.0,7.450981
57.0,207.0,1.7647057
57.0,225.0,2.745098
57.0,228.0,9.803921
57.0,231.0,22.941175
57.0,234.0,35.098038
57.0,237.0,43.72549
57.0,240.0,47.64706
57.0,243.0,47.64706
57.0,246.0,44.509804
57.0,249.0,37.058823
57.0,252.0,25.294117
57.0,255.0,11.960785
57.0,258.0,3.5294113
60.0,126.0,3.9215698
60.0,129.0,12.941177
60.0,132.0,26.470589
60.0,135.0,37.843136
60.0,138.0,45.490196
60.0,141.0,48.039215
60.0,144.0,47.2549
60.0,147.0,42.941177
60.0,150.0,32.941177
60.0,153.0,21.17647
60.0,156.0,8.627449
60.0,159.0,2.1568642
60.0,177.0,2.1568642
60.0,180.0,8.823528
60.0,183.0,20.784313
60.0,186.0,33.72549
60.0,189.0,42.35294
60.0,192.0,44.509804
60.0,195.0,41.17647
60.0,198.0,31.764706
60.0,201.0,19.215685
60.0,204.0,7.450981
60.0,207.0,1.5686264
60.0,225.0,2.5490189
60.0,228.0,10.196079
60.0,231.0,22.549019
60.0,234.0,35.098038
60.0,237.0,43.333332
60.0,240.0,47.64706
60.0,243.0,48.039215
60.0,246.0,44.509804
60.0,249.0,37.058823
60.0,252.0,25.294117
60.0,255.0,12.15686
60.0,258.0,3.5294113
63.0,126.0,4.1176453
63.0,129.0,13.137253
63.0,132.0,26.862745
63.0,135.0,38.039215
63.0,138.0,45.490196
63.0,141.0,48.039215
63.0,144.0,47.2549
63.0,147.0,42.7451
63.0,150.0,33.333332
63.0,153.0,20.784313
63.0,156.0,8.823528
63.0,159.0,2.1568642
63.0,177.0,2.3529396
63.0,180.0,9.019608
63.0,183.0,20.784313
63.0,186.0,33.72549
63.0,189.0,41.568626
63.0,192.0,44.509804
63.0,195.0,41.17647
63.0,198.0,31.960783
63.0,201.0,19.411764
63.0,204.0,7.450981
63.0,207.0,1.7647057
63.0,225.0,2.5490189
63.0,228.0,10.0
63.0,231.0,22.549019
63.0,234.0,35.098038
63.0,237.0,43.333332
63.0,240.0,48.62745
63.0,243.0,47.64706
63.0,246.0,44.509804
63.0,249.0,37.45098
63.0,252.0,25.686274
63.0,255.0,12.745098
63.0,258.0,3.7254906
66.0,126.0,3.9215698
66.0,129.0,13.333332
66.0,132.0,26.862745
66.0,135.0,38.039215
66.0,138.0,45.098038
66.0,141.0,48.039215
66.0,144.0,46.862743
66.0,147.0,42.941177
66.0,150.0,33.333332
66.0,153.0,21.17647
66.0,156.0,8.823528
66.0,159.0,2.1568642
66.0,177.0,2.1568642
66.0,180.0,8.823528
66.0,183.0,20.784313
66.0,186.0,34.117645
66.0,189.0,41.960785
66.0,192.0,44.117645
66.0,195.0,41.17647
66.0,198.0,31.960783
66.0,201.0,19.215685
66.0,204.0,7.254902
66.0,207.0,1.7647057
66.0,225.0,2.745098
66.0,228.0,10.196079
66.0,231.0,22.941175
66.0,234.0,35.68627
66.0,237.0,43.333332
66.0,240.0,48.039215
66.0,243.0,48.039215
66.0,246.0,44.705883
66.0,249.0,37.45098
66.0,252.0,26.470589
66.0,255.0,12.941177
66.0,258.0,3.9215698
69.0,126.0,4.1176453
69.0,129.0,13.725491
69.0,132.0,27.254902
69.0,135.0,38.039215
69.0,138.0,45.490196
69.0,141.0,47.64706
69.0,144.0,47.2549
69.0,147.0,42.941177
69.0,150.0,33.333332
69.0,153.0,21.372547
